Name,Player,Rk,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GS/G,G/MaxG,MP_sq,PTS_sq,Market_Val,Current_Sal
preciousachiuwa,Precious Achiuwa,1,C,22,TOR,73,28,23.6,3.6,8.3,0.439,0.8,2.1,0.359,2.9,6.1,0.468,0.486,1.1,1.8,0.595,2.0,4.5,6.5,1.1,0.5,0.6,1.2,2.1,9.1,0.3835616438356164,0.8902439024390244,556.96,82.80999999999999,5.979357296100002,2.71128
stevenadams,Steven Adams,2,C,28,MEM,76,75,26.3,2.8,5.1,0.547,0.0,0.0,0.0,2.8,5.0,0.548,0.547,1.4,2.6,0.543,4.6,5.4,10.0,3.4,0.9,0.8,1.5,2.0,6.9,0.9868421052631579,0.926829268292683,691.69,47.61000000000001,11.457599692299011,17.073171
bamadebayo,Bam Adebayo,3,C,24,MIA,56,56,32.6,7.3,13.0,0.557,0.0,0.1,0.0,7.3,12.9,0.562,0.557,4.6,6.1,0.753,2.4,7.6,10.1,3.4,1.4,0.8,2.6,3.1,19.1,1.0,0.6829268292682927,1062.76,364.81000000000006,21.05970445161671,28.10355
santialdama,Santi Aldama,4,PF,21,MEM,32,0,11.3,1.7,4.1,0.402,0.2,1.5,0.125,1.5,2.6,0.56,0.424,0.6,1.0,0.625,1.0,1.7,2.7,0.7,0.2,0.3,0.5,1.1,4.1,0.0,0.3902439024390244,127.69000000000001,16.81,2.539127726843585,1.99452
lamarcusaldridge,LaMarcus Aldridge,5,C,36,BRK,47,12,22.3,5.4,9.7,0.55,0.3,1.0,0.304,5.1,8.8,0.578,0.566,1.9,2.2,0.873,1.6,3.9,5.5,0.9,0.3,1.0,0.9,1.7,12.9,0.2553191489361702,0.573170731707317,497.29,166.41,7.247539632716234,2.641691
nickeilalexanderwalker,Nickeil Alexander-Walker,6,SG,23,TOT,65,21,22.6,3.9,10.5,0.372,1.6,5.2,0.311,2.3,5.3,0.433,0.449,1.2,1.7,0.743,0.6,2.3,2.9,2.4,0.7,0.4,1.4,1.6,10.6,0.3230769230769231,0.7926829268292683,510.76000000000005,112.36,7.007485970070148,3.26148
nickeilalexanderwalker,Nickeil Alexander-Walker,6,SG,23,NOP,50,19,26.3,4.7,12.6,0.375,1.9,6.1,0.311,2.8,6.5,0.434,0.45,1.4,1.9,0.722,0.7,2.6,3.3,2.8,0.8,0.4,1.7,1.8,12.8,0.38,0.6097560975609756,691.69,163.84000000000003,9.240649693008372,3.26148
nickeilalexanderwalker,Nickeil Alexander-Walker,6,SG,23,UTA,15,2,9.9,1.1,3.2,0.333,0.7,2.2,0.303,0.4,1.0,0.4,0.438,0.7,0.8,0.917,0.1,1.5,1.5,1.1,0.3,0.3,0.5,1.0,3.5,0.13333333333333333,0.18292682926829268,98.01,12.25,1.9216334163151805,3.26148
graysonallen,Grayson Allen,7,SG,26,MIL,66,61,27.3,3.9,8.6,0.448,2.4,5.9,0.409,1.5,2.7,0.533,0.588,1.0,1.1,0.865,0.5,2.9,3.4,1.5,0.7,0.3,0.7,1.5,11.1,0.9242424242424242,0.8048780487804879,745.2900000000001,123.21,10.72226488904888,4.054695
jarrettallen,Jarrett Allen,8,C,23,CLE,56,56,32.3,6.6,9.7,0.677,0.0,0.2,0.1,6.6,9.6,0.688,0.678,2.9,4.2,0.708,3.4,7.3,10.8,1.6,0.8,1.3,1.7,1.7,16.1,1.0,0.6829268292682927,1043.2899999999997,259.21000000000004,17.144952998778262,20.0
josealvarado,Jose Alvarado,9,PG,23,NOP,54,1,15.4,2.4,5.4,0.446,0.6,2.0,0.291,1.8,3.4,0.538,0.5,0.7,1.0,0.679,0.5,1.4,1.9,2.8,1.3,0.1,0.7,1.4,6.1,0.018518518518518517,0.6585365853658537,237.16000000000003,37.209999999999994,5.100099743095844,
justinanderson,Justin Anderson,10,SF,28,TOT,16,6,19.8,2.3,5.9,0.379,0.9,3.7,0.254,1.3,2.3,0.583,0.458,0.9,1.2,0.789,0.3,2.6,2.9,2.1,0.5,0.4,0.5,1.4,6.4,0.375,0.1951219512195122,392.04,40.96000000000001,4.197152211071451,
justinanderson,Justin Anderson,10,SF,28,CLE,3,0,15.7,1.3,2.7,0.5,0.7,2.0,0.333,0.7,0.7,1.0,0.625,1.0,1.3,0.75,0.0,2.0,2.0,2.0,0.3,0.0,0.7,1.3,4.3,0.0,0.036585365853658534,246.48999999999998,18.49,0.8268025467721616,
justinanderson,Justin Anderson,10,SF,28,IND,13,6,20.7,2.5,6.7,0.368,1.0,4.1,0.245,1.5,2.6,0.559,0.443,0.9,1.2,0.8,0.3,2.8,3.1,2.1,0.5,0.5,0.5,1.4,6.8,0.46153846153846156,0.15853658536585366,428.48999999999995,46.239999999999995,4.618492484572684,
kyleanderson,Kyle Anderson,11,PF,28,MEM,69,11,21.5,3.0,6.8,0.446,0.5,1.6,0.33,2.5,5.2,0.481,0.484,1.0,1.5,0.638,1.0,4.3,5.3,2.7,1.1,0.7,1.0,1.6,7.6,0.15942028985507245,0.8414634146341463,462.25,57.76,6.650320367344959,9.93715
giannisantetokounmpo,Giannis Antetokounmpo,12,PF,27,MIL,67,67,32.9,10.3,18.6,0.553,1.1,3.6,0.293,9.2,15.0,0.616,0.582,8.3,11.4,0.722,2.0,9.6,11.6,5.8,1.1,1.4,3.3,3.2,29.9,1.0,0.8170731707317073,1082.4099999999999,894.0099999999999,43.31191652969445,39.34497
thanasisantetokounmpo,Thanasis Antetokounmpo,13,SF,29,MIL,48,6,9.9,1.5,2.7,0.547,0.0,0.3,0.143,1.4,2.4,0.596,0.555,0.6,1.0,0.63,0.8,1.3,2.1,0.5,0.3,0.3,0.5,1.4,3.6,0.125,0.5853658536585366,98.01,12.96,3.2031336985874823,1.729217
carmeloanthony,Carmelo Anthony,14,PF,37,LAL,69,3,26.0,4.6,10.5,0.441,2.2,5.8,0.375,2.5,4.7,0.521,0.544,1.9,2.3,0.83,0.9,3.3,4.2,1.0,0.7,0.8,0.9,2.4,13.3,0.043478260869565216,0.8414634146341463,676.0,176.89000000000001,9.333734878050324,2.641691
coleanthony,Cole Anthony,15,PG,21,ORL,65,65,31.7,5.5,14.0,0.391,2.0,6.0,0.338,3.5,8.0,0.432,0.464,3.3,3.9,0.854,0.5,4.9,5.4,5.7,0.7,0.3,2.6,2.6,16.3,1.0,0.7926829268292683,1004.89,265.69,18.818246273090875,3.4494
oganunoby,OG Anunoby,16,SF,24,TOR,48,48,36.0,6.4,14.5,0.443,2.4,6.6,0.363,4.0,7.9,0.511,0.526,1.9,2.5,0.754,1.5,4.0,5.5,2.6,1.5,0.5,1.7,2.7,17.1,1.0,0.5853658536585366,1296.0,292.41,20.61162621492609,16.071429
ryanarcidiacono,Ryan Arcidiacono,17,PG,27,NYK,10,0,7.6,0.6,1.2,0.5,0.4,0.9,0.444,0.2,0.3,0.667,0.667,0.0,0.0,0.765,0.0,0.8,0.8,0.4,0.1,0.0,0.3,0.5,1.6,0.0,0.12195121951219512,57.76,2.5600000000000005,1.1567829518954502,
